Pulse heights for the following Vcal values:
Low range:  50 100 150 200 250 
High range:  30 50 70 90 200 

  32  47  64  79  96  78 128 172 213 255    Pix  3  7
  33  48  65  80  96  78 129 172 214 255    Pix  3  8
  33  48  66  82  99  79 129 173 216 255    Pix  3  9
  37  52  69  85 103  84 134 178 221 255    Pix  3 10
  35  51  68  84 102  83 135 178 222 255    Pix  3 11
  27  41  59  75  93  74 125 168 211 255    Pix  3 12
  27  41  59  75  92  74 124 169 211 255    Pix  3 13
  24  39  55  73  89  70 120 163 207 255    Pix  3 14
  31  46  63  80  96  77 127 170 211 255    Pix  3 15
  37  54  71  87 105  85 138 181 225 255    Pix  3 16
  38  53  70  86 104  84 137 180 222 255    Pix  3 17
  36  53  70  86 103  84 137 181 224 255    Pix  3 18
  34  50  68  84 101  83 133 176 220 255    Pix  3 19
  32  48  65  81  99  80 132 175 221 255    Pix  3 20
  38  53  71  88 106  85 138 181 227 255    Pix  3 21
  32  47  66  80  99  78 130 173 217 255    Pix  3 22
  35  51  67  84 102  84 134 178 220 255    Pix  3 23
  26  42  59  76  92  74 124 168 212 255    Pix  3 24
  26  40  58  74  92  72 124 168 212 255    Pix  3 25
  30  45  62  78  96  78 129 172 216 255    Pix  3 26
  33  48  67  83 100  81 133 175 221 255    Pix  3 27
  29  43  61  77  95  76 126 169 213 255    Pix  3 28
  33  47  65  81  98  81 132 174 219 255    Pix  3 29
  26  41  56  75  91  73 122 166 210 255    Pix  3 30
  25  41  58  75  92  73 124 167 211 255    Pix  3 31
  26  39  58  75  92  73 124 167 210 255    Pix  3 32
  36  50  68  85 102  83 133 178 221 255    Pix  3 33
  35  51  67  84 100  83 132 174 217 255    Pix  3 34
  38  53  71  89 106  87 137 181 226 255    Pix  3 35
  31  45  63  79  95  77 128 170 213 255    Pix  3 36
  29  45  63  79  97  78 128 172 218 255    Pix  3 37
  30  45  62  79  97  77 127 173 216 255    Pix  3 38
  36  51  67  84 102  84 135 178 223 255    Pix  3 39
  29  45  62  77  95  76 127 171 215 255    Pix  3 40
  31  46  64  81  99  79 130 174 219 255    Pix  3 41
